Product ID,Mean_Daily_Demand,Demand_Std_Dev,Total_Sales_Records,Mean_Supplier_Lead_Time,Lead_Time_Std_Dev,Current_Reorder_Point,Current_Stock_Levels,Warehouse_Capacity,Mean_Price,Mean_Storage_Cost,Elasticity_Index,Shortage_Penalty
1127,278.0,10.0,1,15.0,5.79,145.25,500.25,3031.25,15.37,8.74,1.62,23.06
1129,285.5,198.5,2,11.0,1.5,113.0,699.0,1567.0,7.89,3.9,1.63,11.84
1132,166.5,92.5,2,16.0,5.7,113.0,446.25,3133.5,59.54,9.47,0.96,89.31
1136,250.0,23.0,2,11.0,9.0,107.0,785.5,2666.0,45.77,7.28,1.53,68.66
1137,307.0,10.0,1,24.0,1.5,83.0,807.0,2882.0,93.18,7.12,1.47,139.77
1142,396.0,10.0,1,24.0,1.5,180.0,591.0,1061.0,7.73,4.44,2.33,11.6
1147,475.0,10.0,1,27.0,1.5,80.0,63.0,1398.0,78.35,6.22,2.29,117.52
1148,74.0,10.0,1,15.75,7.15,88.75,301.25,3421.75,67.3,1.78,1.74,100.95
1150,235.5,226.5,2,12.0,1.5,123.0,337.0,3775.0,61.52,4.77,1.33,92.28
1161,104.0,10.0,1,18.0,6.98,153.33,672.67,3431.33,63.68,3.14,1.56,95.53
1162,31.0,10.0,1,3.0,1.5,78.0,421.0,3870.0,52.86,6.18,1.78,79.3
1163,228.5,194.5,2,5.0,1.5,128.0,296.0,4809.0,22.01,7.09,1.4,33.02
1165,33.0,10.0,1,18.0,1.5,181.0,68.0,1376.0,37.69,6.36,1.4,56.54
1169,431.0,10.0,1,7.0,6.04,70.25,379.0,4017.0,90.75,6.61,1.67,136.12
1171,375.0,10.0,1,9.5,3.5,181.0,494.0,2274.5,56.4,3.58,1.62,84.61
1177,222.0,147.0,2,5.0,1.5,31.0,296.0,2331.0,19.13,5.03,1.48,28.7
1178,101.0,10.0,1,8.0,1.5,153.0,161.0,2980.0,59.6,6.94,1.62,89.39
1181,251.0,233.0,2,27.0,1.5,63.0,633.0,4417.0,10.32,8.7,0.51,15.48
1183,446.0,10.0,1,13.0,3.0,70.5,684.5,3200.0,25.22,7.09,2.12,37.83
1186,231.0,10.0,1,6.0,1.5,84.0,65.0,3888.0,34.16,3.82,2.22,51.24
1187,478.0,10.0,1,15.0,8.83,145.67,498.67,3180.67,23.52,4.81,1.46,35.29
1188,424.0,75.0,2,9.0,1.5,194.0,688.0,1068.0,56.96,3.64,1.4,85.44
1193,371.0,10.0,1,11.5,10.5,107.0,560.5,2145.5,24.58,9.58,0.92,36.87
1197,209.0,144.64,3,16.33,11.59,42.0,773.0,3580.0,74.74,9.09,1.31,112.1
1205,188.0,10.0,1,6.0,1.5,69.0,187.0,1214.0,26.46,5.88,1.97,39.69
1206,304.5,17.5,2,14.0,1.5,182.0,686.0,2787.0,55.25,3.01,2.31,82.88
1207,247.0,142.0,2,4.5,2.5,77.0,392.0,3361.0,20.47,4.24,2.04,30.7
1208,58.0,10.0,1,21.0,6.0,48.0,192.0,2054.5,35.7,8.79,1.24,53.55
1209,127.0,10.0,1,11.67,6.65,147.0,195.0,2269.33,50.77,5.38,1.83,76.16
1210,289.0,21.46,3,11.5,6.5,104.0,508.5,2990.0,51.22,6.0,0.88,76.82
1212,47.0,10.0,1,26.0,1.5,87.0,454.0,1929.0,65.27,2.97,1.27,97.9
1216,231.0,10.0,1,6.0,1.5,28.0,681.0,3210.0,56.44,4.99,0.65,84.66
1219,230.0,10.0,1,27.0,1.5,54.0,523.0,4782.0,42.66,6.8,1.58,63.98
1222,406.0,10.0,1,16.67,10.87,149.33,560.0,3608.0,74.34,6.61,0.86,111.51
1226,347.0,10.0,1,5.0,1.5,197.0,668.0,1394.0,57.26,4.3,1.96,85.9
1228,21.0,10.0,1,9.0,1.5,135.0,786.0,1139.0,51.28,5.55,1.25,76.93
1233,284.0,165.6,3,20.0,6.0,134.0,344.0,2979.0,10.86,8.88,1.73,16.29
1234,430.5,0.5,2,29.0,1.5,153.0,826.0,2410.0,72.84,8.79,1.75,109.26
1237,154.0,140.0,2,27.5,0.5,117.5,656.5,2949.5,14.73,1.91,2.0,22.1
1238,187.5,153.5,2,26.0,1.5,148.0,184.0,3472.0,66.65,5.03,1.32,99.98
1243,459.5,6.5,2,13.0,5.0,84.0,791.0,3775.0,36.75,3.97,1.13,55.12
1250,447.0,30.0,2,8.0,1.5,110.0,64.0,3796.0,43.36,3.86,0.89,65.03
1253,239.4,132.53,5,1.0,1.5,121.0,783.0,3380.0,45.54,6.18,1.38,68.31
1254,428.0,10.0,1,5.0,1.5,29.0,210.0,1369.0,67.43,7.44,1.33,101.15
1256,256.0,112.0,2,12.67,10.84,116.67,370.0,3115.0,38.94,7.15,1.2,58.42
1265,189.0,10.0,1,18.0,5.0,88.5,575.0,2382.5,63.47,6.49,2.12,95.2
1272,237.0,10.0,1,7.0,1.5,22.0,383.0,1314.0,88.76,1.01,2.11,133.14
1274,251.5,136.85,4,25.0,1.5,123.0,242.0,3526.0,63.36,8.09,1.5,95.03
1276,418.0,10.0,1,9.0,1.5,126.0,880.0,1509.0,62.02,4.73,1.2,93.04
1286,316.0,10.0,1,15.0,9.09,149.33,463.33,3888.33,48.82,4.92,2.34,73.23
1289,311.33,145.97,3,22.0,1.5,16.0,665.0,4429.0,26.78,6.02,1.96,40.17
1293,174.0,10.0,1,7.0,1.5,173.0,967.0,1664.0,73.77,7.52,1.44,110.66
1299,129.0,10.0,1,25.0,1.5,145.0,486.0,3465.0,69.82,4.5,1.42,104.74
1301,243.5,164.5,2,15.0,10.71,106.0,275.0,2726.0,66.6,8.41,1.02,99.9
1302,206.0,94.77,3,26.0,1.5,27.0,910.0,2324.0,70.95,8.71,2.03,106.43
1303,180.0,10.0,1,15.25,8.53,76.5,602.75,3374.75,52.16,5.41,1.63,78.24
1305,420.0,37.53,3,19.0,1.41,144.0,597.0,2589.33,28.89,7.34,1.19,43.34
1310,201.0,10.0,1,2.0,1.5,92.0,545.0,2762.0,5.63,3.61,1.75,8.44
1311,291.67,159.17,3,26.5,0.5,114.5,176.5,2469.5,52.56,5.38,1.45,78.84
1320,183.33,64.15,3,4.5,3.5,109.0,296.5,3397.0,50.33,8.78,1.1,75.5
1327,407.0,10.0,1,10.5,2.5,87.5,837.0,3500.0,7.4,5.79,2.49,11.1
1329,336.0,10.0,1,8.0,1.5,112.0,789.0,2143.0,80.2,5.51,1.37,120.3
1333,344.0,10.0,1,16.0,5.0,176.0,189.0,2397.5,80.37,5.58,1.6,120.56
1334,266.0,10.0,1,27.0,1.5,146.0,339.0,3282.0,40.22,5.08,1.82,60.32
1338,355.0,10.0,1,7.0,5.0,97.5,717.0,1435.0,45.56,1.54,1.38,68.34
1342,183.0,10.0,1,19.67,6.65,121.67,465.33,3373.33,43.5,4.23,2.32,65.25
1343,231.0,10.0,1,18.0,1.5,23.0,62.0,2184.0,59.88,8.26,1.52,89.82
1345,358.0,10.0,1,29.0,1.5,20.0,921.0,3227.0,56.85,3.46,1.34,85.28
1350,267.0,10.0,1,1.0,1.5,99.0,734.0,1106.0,52.24,9.34,1.91,78.37
1356,436.0,10.0,1,14.5,1.5,99.0,790.5,2227.5,34.56,2.04,2.16,51.85
1359,77.0,10.0,1,16.0,1.5,20.0,545.0,3712.0,45.97,6.31,1.42,68.95
1361,219.0,85.0,2,3.0,1.5,52.0,659.0,3895.0,56.91,5.62,1.54,85.36
1362,463.0,10.0,1,23.0,1.5,170.0,497.0,1696.0,13.62,5.5,2.21,20.43
1378,376.0,10.0,1,28.0,1.5,25.0,606.0,2594.0,82.13,8.06,1.76,123.2
1379,368.0,10.0,1,25.0,1.5,196.0,857.0,1712.0,79.4,4.13,1.16,119.09
1381,217.0,10.0,1,12.0,8.0,68.5,717.5,2825.0,62.27,1.83,2.43,93.4
1383,290.0,10.0,1,18.0,10.2,98.0,379.0,2945.67,80.71,1.6,2.4,121.06
1385,396.0,10.0,1,23.0,3.0,161.5,381.5,2336.0,25.94,5.39,2.39,38.91
1386,29.0,10.0,1,20.0,1.5,176.0,693.0,3782.0,26.52,2.46,0.8,39.78
1392,484.0,10.0,1,7.0,1.5,102.0,425.0,1526.0,30.56,6.37,1.94,45.84
1395,342.0,10.0,1,12.5,4.5,108.0,151.0,2047.0,86.26,4.26,1.14,129.4
1400,220.0,10.0,1,9.75,5.36,53.5,614.5,1666.75,17.14,5.58,0.66,25.71
1403,213.5,24.5,2,13.5,9.76,123.0,511.5,3277.5,76.46,4.51,1.23,114.69
1410,349.5,34.5,2,2.0,1.5,104.0,576.0,4887.0,66.55,7.11,1.89,99.82
1411,128.0,98.0,2,12.67,1.25,130.33,636.33,3623.0,31.56,1.74,1.2,47.33
1416,131.0,68.0,2,16.0,1.5,145.0,399.0,1923.0,36.49,4.23,1.69,54.74
1429,425.0,10.0,1,10.4,5.39,82.8,437.0,3397.8,78.9,2.3,2.36,118.35
1434,445.0,10.0,1,6.0,1.5,51.0,740.0,4557.0,52.3,4.99,1.62,78.44
1438,98.0,10.0,1,10.0,1.5,110.0,556.0,4429.0,35.37,4.98,1.22,53.05
1446,132.67,24.23,3,29.0,1.5,154.0,694.0,3608.0,36.83,5.36,1.87,55.24
1447,186.0,150.0,2,10.0,1.5,161.0,152.0,1161.0,52.67,4.16,2.42,79.0
1451,63.0,10.0,1,26.0,1.5,25.0,584.0,4329.0,34.4,6.14,2.41,51.59
1455,225.0,10.0,1,3.0,1.5,38.0,429.0,2668.0,47.43,8.24,1.14,71.14
1459,224.5,38.5,2,28.0,1.5,169.0,142.0,4495.0,90.37,2.19,2.01,135.56
1462,315.0,10.0,1,7.0,1.5,15.0,863.0,3322.0,87.76,5.84,1.75,131.64
1469,263.5,4.5,2,20.0,5.0,101.5,149.0,4196.0,26.38,8.24,1.62,39.57
1474,148.5,3.5,2,5.0,3.56,100.33,528.0,4383.67,61.45,7.3,1.33,92.18
1477,151.0,100.0,3,7.0,1.5,60.0,522.0,4848.0,32.09,1.13,2.35,48.14
1479,27.5,9.5,2,15.5,10.5,95.0,483.0,4072.0,54.54,5.16,1.74,81.81
1481,357.0,105.0,2,14.0,8.83,115.33,591.0,3371.33,66.15,8.12,0.87,99.22
1483,364.0,10.0,1,6.0,1.5,10.0,958.0,3313.0,34.51,8.72,1.54,51.76
1484,279.0,10.0,1,26.0,1.5,37.0,426.0,4740.0,68.06,4.83,0.69,102.09
1486,335.75,141.21,4,9.0,8.0,123.0,681.0,1925.5,32.86,6.5,1.45,49.29
1488,286.0,10.0,1,22.0,1.5,82.0,426.0,2367.0,53.31,7.11,0.86,79.96
1490,363.0,10.0,1,17.0,1.5,192.0,881.0,2125.0,16.61,4.2,1.25,24.92
1493,130.0,10.0,1,23.0,1.5,76.0,467.0,4776.0,30.97,2.6,1.65,46.45
1497,78.0,10.0,1,14.67,10.08,114.67,704.0,2202.33,26.96,6.76,1.61,40.44
1509,152.0,10.0,1,14.0,1.5,146.0,161.0,2104.0,67.15,7.1,2.29,100.72
1517,251.0,10.0,1,20.0,1.5,185.0,172.0,3928.0,67.96,6.51,0.86,101.94
1523,198.33,143.59,3,27.0,1.5,165.0,631.0,3788.0,30.91,8.34,2.26,46.36
1524,107.0,40.0,2,21.0,1.5,72.0,129.0,4246.0,39.78,4.31,1.34,59.68
1530,148.0,10.0,1,10.0,7.0,162.5,639.5,2167.0,53.92,7.23,1.64,80.88
1531,255.0,10.0,1,10.0,1.5,23.0,59.0,3855.0,49.81,7.74,1.2,74.72
1535,278.0,10.0,1,14.0,8.0,98.0,528.5,3186.0,7.48,2.77,1.52,11.23
1539,451.5,46.01,4,8.0,7.0,79.0,617.0,3889.0,32.38,4.42,0.9,48.57
1543,42.0,10.0,1,26.0,1.5,62.0,651.0,1089.0,82.84,2.65,1.87,124.26
1544,259.5,125.5,2,11.0,1.5,185.0,959.0,1690.0,29.97,8.46,1.93,44.96
1547,88.0,10.0,1,9.0,1.5,113.0,344.0,4141.0,48.15,8.24,1.77,72.23
1549,86.0,10.0,1,16.5,7.5,55.0,373.0,3211.5,79.41,1.84,1.03,119.12
1550,219.0,10.0,1,4.0,1.5,115.0,966.0,3078.0,82.39,5.89,1.74,123.58
1551,376.0,10.0,1,23.5,2.5,100.5,856.5,2149.5,76.32,7.41,0.73,114.48
1555,57.0,10.0,1,3.0,1.0,69.0,787.5,4159.5,55.77,2.47,0.55,83.66
1556,439.0,10.0,1,14.4,7.0,94.4,628.2,2095.4,38.14,5.04,0.9,57.21
1558,291.0,113.0,2,10.0,6.0,92.0,506.5,2378.5,92.14,1.38,1.37,138.21
1571,424.0,10.0,1,2.0,1.5,75.0,780.0,4306.0,54.91,9.29,1.41,82.36
1574,293.0,193.0,2,29.0,1.5,12.0,368.0,1025.0,41.8,4.77,1.96,62.69
1576,415.5,77.5,2,6.5,5.5,35.0,507.0,4831.0,46.74,6.07,2.02,70.11
1577,257.5,13.5,2,6.0,1.5,188.0,442.0,1828.0,76.12,6.16,1.66,114.18
1578,408.5,11.5,2,27.0,1.5,156.0,95.0,3371.0,48.62,5.38,1.32,72.93
1580,294.0,10.0,1,7.5,2.5,26.5,378.5,3989.5,42.58,3.74,0.98,63.87
1588,499.0,10.0,1,11.0,1.5,116.0,461.0,3410.0,55.5,3.31,2.33,83.25
1589,388.0,118.34,4,13.8,5.19,110.8,487.4,2188.0,37.29,5.17,1.06,55.94
1597,191.0,10.0,1,10.0,1.5,37.0,794.0,2997.0,29.78,9.23,2.26,44.67
1600,211.0,10.0,1,24.0,1.5,77.5,468.0,3461.0,56.34,7.74,0.84,84.5
1603,346.0,10.0,1,5.0,1.5,61.0,449.0,2305.0,20.76,9.36,1.46,31.15
1604,151.0,10.0,1,18.5,8.5,118.0,593.5,4284.5,58.48,2.0,1.96,87.73
1608,246.0,91.0,2,14.0,9.0,109.5,789.0,3859.5,98.09,9.21,1.57,147.14
1610,115.0,10.0,1,18.0,1.5,150.0,735.0,3404.0,39.62,5.82,1.03,59.44
1614,183.4,108.89,5,8.0,1.5,148.0,27.0,1135.0,84.9,2.52,2.12,127.35
1617,207.0,10.0,1,15.0,1.5,151.0,582.0,1782.0,67.06,2.04,0.86,100.59
1623,495.0,10.0,1,27.0,1.5,140.0,773.0,4149.0,5.1,4.84,0.82,7.65
1633,128.0,10.0,1,8.0,1.5,94.0,328.0,1194.0,84.4,4.43,1.1,126.6
1634,257.0,10.0,1,26.0,1.5,123.0,407.0,1811.0,60.93,6.34,1.17,91.39
1643,155.0,10.0,1,27.0,1.5,147.0,632.0,1256.0,60.32,6.18,1.32,90.47
1647,340.0,10.0,1,23.0,1.5,123.0,11.0,2852.0,87.27,6.06,0.74,130.9
1648,36.0,10.0,1,10.5,4.5,65.0,9.0,2656.0,59.36,7.13,1.84,89.04
1651,8.0,10.0,1,22.0,1.5,57.0,742.0,4468.0,75.93,1.07,0.63,113.9
1652,411.0,10.0,1,13.33,5.73,149.0,671.0,2538.0,35.81,7.01,1.48,53.72
1654,197.5,131.5,2,17.0,2.16,70.0,283.33,2858.67,48.13,9.49,1.49,72.2
1658,205.5,15.5,2,10.0,1.5,23.0,773.0,1314.0,62.91,7.94,1.32,94.36
1665,429.0,27.94,3,11.0,1.5,134.0,389.0,3682.0,65.67,3.32,1.63,98.5
1668,358.0,10.0,1,14.5,6.5,123.0,400.5,2892.5,15.05,4.84,0.76,22.58
1669,228.0,46.0,2,10.0,6.0,109.5,327.0,2248.5,27.69,9.01,1.68,41.54
1677,259.0,10.0,1,18.5,10.5,107.5,714.0,1634.0,58.73,4.2,1.56,88.1
1678,329.0,10.0,1,10.0,1.5,123.0,681.0,1388.0,72.12,3.32,1.03,108.18
1683,99.0,30.0,2,20.5,5.5,113.0,545.0,3763.5,84.77,9.59,0.51,127.16
1684,275.0,10.0,1,14.5,10.5,107.0,260.0,3557.0,62.74,6.04,1.49,94.11
1687,114.0,10.0,1,8.0,3.0,47.0,813.5,2075.5,49.32,4.88,1.26,73.97
1690,437.0,26.0,2,21.0,7.38,162.5,600.75,2892.5,57.82,7.21,1.83,86.72
1695,208.5,92.5,2,9.0,1.5,108.0,469.0,4574.0,19.26,4.69,1.09,28.89
1696,243.5,132.5,2,19.0,1.5,73.0,385.0,3554.0,34.79,6.12,0.61,52.18
1701,201.33,100.97,3,3.5,2.5,99.0,396.5,3628.0,12.89,1.17,1.02,19.34
1702,89.0,10.0,1,18.0,1.5,78.0,952.0,4768.0,44.65,2.33,2.36,66.97
1705,397.0,10.0,1,13.33,7.72,96.33,502.67,4534.0,24.04,4.74,0.68,36.06
1709,146.5,92.5,2,13.0,1.5,175.0,906.0,4419.0,92.6,2.51,1.96,138.9
1710,245.0,10.0,1,13.0,1.5,46.0,663.0,1332.0,48.72,4.94,2.41,73.09
1713,362.0,105.0,2,23.0,1.5,13.0,371.0,3612.0,47.91,2.47,1.89,71.86
1714,319.0,10.0,1,9.0,1.5,183.0,549.0,4084.0,56.12,4.96,1.36,84.18
1717,367.0,99.14,4,7.0,1.5,118.0,229.0,1224.0,56.9,4.04,1.03,85.35
1723,313.0,29.0,2,1.0,1.5,151.0,795.0,4272.0,43.75,7.21,2.2,65.62
1726,472.0,10.0,1,16.0,12.0,123.5,671.5,3319.5,41.97,2.08,2.21,62.96
1729,357.0,10.0,1,10.75,4.02,109.5,552.5,2505.25,62.11,2.08,0.58,93.16
1730,261.0,10.0,1,4.0,1.5,36.0,43.0,1514.0,25.29,8.1,2.23,37.94
1742,334.0,10.0,1,20.0,10.03,106.67,497.33,3880.33,38.69,5.56,0.72,58.03
1745,189.0,10.0,1,26.0,1.5,168.0,876.0,4317.0,29.03,6.33,2.06,43.54
1750,232.5,145.5,2,18.0,2.0,130.0,568.0,4030.5,77.07,1.65,0.82,115.6
1751,290.0,10.0,1,9.0,1.5,131.0,370.0,3484.0,33.48,3.26,1.87,50.22
1756,320.0,69.43,3,27.0,1.5,80.0,460.0,2882.0,95.68,6.88,1.49,143.52
1762,451.0,10.0,1,14.75,7.01,112.0,647.25,3625.75,46.0,5.96,0.9,68.99
1764,458.0,10.0,1,16.0,4.0,132.5,490.0,3244.5,66.07,7.98,1.08,99.11
1770,199.5,132.5,2,19.5,6.5,146.5,539.5,3356.5,90.77,9.55,1.92,136.16
1771,465.0,10.0,1,12.0,1.5,40.0,926.0,4971.0,18.79,3.14,0.55,28.18
1773,465.0,10.0,1,5.0,1.5,13.0,477.0,4623.0,54.96,6.28,1.74,82.43
1774,465.0,10.0,1,10.0,7.0,91.5,773.5,2681.5,36.05,7.82,1.53,54.08
1775,189.5,148.5,2,14.67,5.56,104.33,517.0,3507.67,46.74,8.36,0.61,70.11
1777,17.0,10.0,1,2.0,1.5,126.0,899.0,2260.0,6.48,4.76,1.24,9.72
1780,403.0,10.0,1,18.0,4.0,83.0,572.5,2868.0,46.78,3.21,2.01,70.16
1783,423.0,10.0,1,17.0,10.0,85.5,540.5,3397.5,47.95,8.92,1.99,71.93
1784,171.0,10.0,1,18.0,2.0,134.5,330.5,1927.0,30.48,5.8,1.61,45.72
1785,441.5,46.5,2,22.0,1.5,98.0,999.0,4238.0,37.82,5.28,1.05,56.73
1789,241.5,65.12,4,9.0,4.0,181.0,622.0,3162.0,6.38,1.29,2.32,9.57
1792,216.0,141.0,2,1.0,1.5,176.0,826.0,3009.0,40.25,7.69,1.95,60.38
1795,319.5,174.5,2,4.0,1.5,180.0,816.0,1392.0,14.15,7.32,1.02,21.22
1797,297.0,131.0,2,26.0,1.5,181.0,829.0,2567.0,55.05,5.08,1.59,82.58
1800,332.0,10.0,1,11.0,1.5,177.0,223.0,1653.0,44.76,3.97,1.2,67.14
1802,342.0,10.0,1,4.5,3.5,54.0,576.5,3207.5,47.86,6.83,0.72,71.8
1805,499.0,10.0,1,27.0,1.5,81.0,421.0,2622.0,89.51,5.27,0.86,134.27
1807,244.5,235.5,2,6.0,1.5,184.0,107.0,1159.0,72.28,2.9,0.8,108.42
1811,208.0,10.0,1,2.0,1.5,137.0,842.0,2949.0,59.63,8.77,1.62,89.44
1815,305.5,100.5,2,24.0,3.0,99.0,425.0,2900.0,80.84,5.6,2.08,121.26
1817,68.0,10.0,1,5.0,1.5,20.0,956.0,4564.0,59.08,3.32,1.95,88.63
1819,212.67,160.27,3,29.0,1.5,26.0,49.0,2243.0,41.66,8.51,1.16,62.49
1820,52.0,10.0,1,7.0,1.5,10.0,566.0,1622.0,94.14,4.39,0.69,141.21
1824,367.0,132.0,2,29.0,1.5,195.0,474.0,4661.0,56.48,1.8,0.72,84.72
1827,148.0,10.0,1,16.0,10.0,97.0,431.5,3844.5,26.21,2.92,1.48,39.32
1828,71.0,10.0,1,7.0,1.5,147.0,637.0,3446.0,93.58,1.49,0.86,140.37
1829,154.0,10.0,1,16.0,4.0,84.0,793.5,3161.5,88.92,8.99,2.42,133.38
1832,322.0,10.0,1,24.0,1.5,90.0,483.0,4578.0,86.45,7.41,1.36,129.68
1834,375.5,69.5,2,19.0,6.75,66.25,609.75,3283.75,34.86,4.02,1.18,52.3
1838,55.0,10.0,1,19.5,5.5,73.0,634.5,2390.0,33.52,5.71,2.49,50.28
1839,239.0,238.0,2,6.0,1.5,76.0,193.0,4172.0,64.61,4.04,1.59,96.92
1843,77.5,16.5,2,21.0,1.5,12.0,708.0,1950.0,39.87,4.35,1.25,59.8
1845,217.5,91.5,2,26.0,1.0,103.5,364.0,2094.5,91.22,1.9,1.8,136.83
1847,225.67,128.9,3,13.0,1.5,26.0,335.0,1924.0,75.04,2.54,1.96,112.55
1852,339.0,10.0,1,16.0,1.5,154.0,769.0,4928.0,62.11,7.4,2.07,93.16
1856,134.5,107.5,2,19.0,2.16,51.67,592.0,2215.33,56.72,5.02,0.86,85.09
1859,330.0,10.0,1,13.0,2.0,91.5,688.5,2343.5,15.66,6.2,0.69,23.48
1861,109.0,10.0,1,24.0,1.5,30.0,928.0,1935.0,24.13,6.08,1.81,36.2
1862,208.5,56.5,2,18.0,1.5,81.0,462.0,4634.0,71.54,9.63,2.23,107.31
1867,108.25,83.75,4,15.5,4.5,133.5,462.0,1761.0,66.15,1.24,1.49,99.22
1871,123.0,10.0,1,13.0,1.5,41.0,778.0,2582.0,83.2,9.32,0.87,124.8
1873,456.0,10.0,1,17.0,1.5,134.0,647.0,1744.0,19.63,9.77,2.05,29.44
1874,277.33,86.82,3,10.0,1.5,58.0,130.0,2473.0,44.67,5.28,1.55,67.0
1879,248.5,113.5,2,11.0,1.5,78.0,520.0,1262.0,14.72,2.8,1.62,22.07
1884,299.0,13.0,2,22.0,5.0,120.5,873.0,3637.0,33.82,4.13,0.51,50.73
1885,336.0,10.0,1,22.0,1.5,180.0,48.0,2279.0,67.2,6.72,1.85,100.81
1890,252.0,187.0,2,11.0,4.0,64.0,436.5,2901.5,26.37,6.09,1.56,39.56
1892,435.0,10.0,1,17.0,10.0,139.5,474.5,1699.5,58.06,9.82,0.69,87.09
1895,156.5,75.84,4,17.0,1.5,114.0,900.0,1242.0,14.95,1.08,1.11,22.42
1898,255.0,63.9,3,5.33,3.09,116.67,345.67,2431.33,44.29,6.9,1.52,66.44
1899,235.0,10.0,1,28.0,1.5,143.0,599.0,1657.0,45.8,1.73,0.72,68.7
1900,237.0,10.0,1,7.5,1.5,59.0,619.5,1530.0,71.24,6.65,1.68,106.86
1903,57.0,10.0,1,17.0,5.1,128.75,452.5,2571.5,19.47,3.43,1.8,29.2
1912,147.0,10.0,1,1.0,1.5,43.0,51.0,4215.0,65.18,4.59,1.66,97.76
1926,257.33,53.51,3,1.0,1.5,182.0,860.0,1207.0,30.38,2.69,0.84,45.56
1929,267.5,223.5,2,1.0,1.5,113.0,237.0,1132.0,42.35,8.6,2.2,63.52
1935,30.0,10.0,1,13.0,1.5,125.0,462.0,2317.0,26.33,9.21,1.8,39.49
1938,265.5,15.5,2,5.0,1.5,152.0,767.0,2303.0,42.57,6.06,0.89,63.86
1940,7.0,10.0,1,14.5,5.17,77.25,262.75,2909.25,45.36,4.47,1.2,68.04
1945,229.0,10.0,1,7.0,1.5,32.0,718.0,1805.0,78.03,7.7,1.34,117.04
1947,335.0,10.0,1,18.5,6.5,153.5,255.5,3625.5,40.49,3.52,2.14,60.74
1948,113.0,10.0,1,5.0,1.0,106.5,570.0,3730.0,65.73,7.12,1.94,98.6
1952,419.0,10.0,1,15.0,7.0,182.0,821.0,1640.5,62.79,4.43,1.9,94.18
1955,445.0,10.0,1,10.0,1.5,98.0,975.0,2194.0,94.89,8.71,2.36,142.34
